Still IN,unknown
Still in,unknown
Still IN,unknown
Still IN.,unknown
Still in,unknown
Still in and going strong (and 101 other cute things I like to tell myself),unknown
Still IN,unknown
Still in,unknown
Still in.,unknown
|Still in, I want to taste some turkey.|,unknown
Still in,unknown
still in wild day today,unknown
Still IN,unknown
Today I had a wet dream. But not sure if i am still in or out. It wasn't a lucid dream so i think im still in.,unknown
Still IN,unknown
Still In,unknown
Still In.,unknown
Still In,unknown
Still In🗿🗿🗿🗿,unknown
Still in,unknown
I’m sick of this shit.  Imma bout to end it all.  I need to nut. 🫥🫥,unknown
Still In,unknown
Still IN,unknown
Still in!,unknown
STILL IN,unknown
Still in!,unknown
Still in,unknown
Still in and pretty tired right now so maybe I'll say something cool tommorow,unknown
Still in,unknown
here,unknown
Still in!,unknown
Still IN,unknown
Still IN,unknown
Still IN,unknown
Still In!,unknown
Still in,unknown
Still IN o7,unknown
Still IN,unknown
Still in,unknown
Still in!,unknown
Still in,unknown
Im still in,unknown
Still in,unknown
Still in,unknown
Still in! 🤙,unknown
Still in,unknown
Still in!,unknown
|Still in, no porn no fap|,unknown
Still in,unknown
Still IN,unknown
Still IN,unknown
In,unknown
Still in,unknown
Still IN. Didn’t think it was possible to make it this far tbh.,unknown
Still in,unknown
Still in!,unknown
STILL IN,unknown
Still in.,unknown
Still IN,unknown
これが終わればにれんきゅう,unknown
Still IN,unknown
|Still in, still waiting for my 2021 flair|,unknown
Still in,unknown
|It’s less then a week until this journey end

Here we go hand in hand
 
From all those who participated 

Their sacrifices, we all appreciate it 

For us to reach out goal 

And not get sucked into this damn turkey hole 

Now we are standing here 

And we can almost hear the cheer 

We are the best of the best 

And gonna celebrate it on 1. December 

With a big nut fest 

Proud to say I’m Still IN|,unknown
Still In,unknown
Still IN,unknown
Still in!,unknown
Still in,unknown
Still in,unknown
still in,unknown
Still IN,unknown
Still IN,unknown
Can't wait for the good ending! Still In,unknown
Still in,unknown
I’m still in!!!!!,unknown
Still in!,unknown
Made it through 25 days. Five more days should be a piece of cake. Still In,unknown
Still in o7,unknown
Still in!,unknown
Still In,unknown
Still In,unknown
Still In y'all,unknown
Stillll innnn,unknown
Still in!,unknown
Still IN,unknown
|Started October 15. 

Multiple experiences transmuting sperm for high magic (basically when I was doing my normal energy work in light trance, I felt the perineum muscle pump involuntarily and filled me with energy) 

this removed all the pressure I had to get a release. 

I was with my girlfriend of five years first three weeks (no sex) and wanted to do 30 days starting when we went camping. Left her 2 weeks or so ago, friends now. Getting more in touch with the energy. But nothing like the first involuntary perineum pump. It was around day 15, and I had a lot of pressure before. After I had 0 desire for sex and became an immortal God. My magic went through the roof. I can close my eyes and see my body. Started commanding a demon like Jesus did. Learned some energy work from a dude who speaks Mayan and just a bit of spanish. Fucking wild. 

But today I'm at my parents. been here since 22. Not a lot of high magic happening. ✨️ lots of sugary desserts. Def harder to deal with pressure.  

STILL IN|,unknown
Still In,unknown
|Last 5 days, and this hell is over

Still IN|,unknown
Still in!,unknown
Still in and no urges o7,unknown
|“Fuck my dick, imma chop it off”|,unknown
|Just 5 more days cumrades, it has been one hell of a ride.
STILL IN. O7|,unknown
Still in!,unknown
Still in,unknown
Still IN,unknown
Still IN,unknown
Still IN,unknown
Still IN,unknown
Still IN,unknown
STILL IN!!,unknown
