|Still in baby, i love nnn a
 Little haiku:
*day seven is in,
  My will is still strongly set,
  Urges are killed,*|,unknown
Still in,unknown
Still in,unknown
STILL IN!!!!,unknown
Still in,unknown
Still in,unknown
Still in,unknown
Still IN,unknown
still in,unknown
I’m almost at the bronze medal. But I’m not gonna stop there. I’m gonna keep going until I actually win and get the diamond medal.,unknown
Still in,unknown
Still IN,unknown
Still IN,unknown
Losing my mind to the horny today but still in,unknown
|I'm still in, but my pp hurts from time to time|,unknown
Still IN,unknown
Still in,unknown
Still in!,unknown
Still in!,unknown
Still in,unknown
Still in o7,unknown
Still IN!,unknown
|Still in, o7|,unknown
still in,unknown
We still in it,unknown
|It’s been a week and I have yet to feel the struggle, either I’m going to get super lucky, or it’s going to get super difficult in a few days. Good luck everyone, still in|,unknown
Still in!,unknown
Still in,unknown
Still IN,unknown
|AHAHAHAHAHA

RESIST THE TEMPTATIONS

STILL IN|,unknown
Still in,unknown
still in! One week have passed and I know it the journey has just begun,unknown
Still In,unknown
STILL IN,unknown
|Still in. Finally the weekends are over, I think that’s the reason I almost lost.|,unknown
Still in,unknown
STILL IN o7,unknown
Still in,unknown
I'm Still IN,unknown
Still in,unknown
STILL IN!!!,unknown
|Still in!

a little late to the roll calls cuz i forgot, but I am participating|,unknown
|Day 7

The testosterone levels have spiked. My mental defenses are deteriorating. But I’m still in|,unknown
Still IN.,unknown
|Still IN

My balls still have not inflated yet, but they are feeling a little bit fuller.|,unknown
Still IN,unknown
STILL IN !!!,unknown
|So maybe this will upset the nofappers, but I finally found the thing that's gonna push me to the finish line. It's a group chat where we're gonna share the big nut and now I really feel like I have to win. There's actually something at stake now. Basically still in|,unknown
In,unknown
|Still IN!

Almost gave up, but realized I'm this far, and if I lost now I would feel terrible, so I gave up on giving up.|,unknown
Still In,unknown
Still in.,unknown
|A week has passed, only a few more weeks to go

still in|,unknown
Still in,unknown
Yeah I’m in and stuff,unknown
I'm not able to write poems but.... STILL IN,unknown
still in o7,unknown
Still in yammattah,unknown
Still in,unknown
I tried some new hot chips and it was one of the spiciest things I've ever eaten which made it easy to be Still IN,unknown
Still In,unknown
Still in,unknown
STILL IN,unknown
STILL IN,unknown
Still in.,unknown
Still in,unknown
Still IN,unknown
Still in,unknown
Still in muthafuckas!!!,unknown
|Difficulty: 🔴🔴⚪️⚪️⚪️
Status: Still in

Today was easy, however I was sick so I wasn't  doing much which made it a bit harder.
First week done though so we still in this.|,unknown
|Still In, must remain resolute|,unknown
Still in,unknown
|Still in
(But I had a night pollution, and I fear for the rest of the month)|,unknown
|Still in 

The week is almost over
Im tryna find the lucky clover
24 more days till we’re free
God  where is she.
Oh wait I’m alone 
At least I’ll sit on my nnn throne
Good luck make it through this week
As I know u all aren’t weak|,unknown
still in,unknown
Still in!!,unknown
s t i l l  i n,unknown
Still IN,unknown
STILL IN,unknown
|Still in, stay focused brothers!|,unknown
Still in,unknown
Still IN!,unknown
|Still in, still easier than day 5 for me.

Stay strong soldiers o7|,unknown
|It's been one week

Pleasure you won't seek

The hard part is over

Just keep going without a boner

Still in o7|,unknown
Day 7. I can see through walls. Still in.,unknown
|I won't write a poem now because I'm officially OUT.

I posted somewhere in this sub tho what are my insights so far.|,unknown
|Still IN gang, going strong this year|,unknown
Still in,unknown
|I ended up nearly losing a few hours ago, but I'm still in. Prayers would be appreciated.|,unknown
|Still IN

Im surviving well, once you stop thinking about it, even if there is distraction you get back on track real quick, don't give up brothers!|,unknown
|Cumrades, my friend has failed, and so shall I. has been mighty fun o7 

I’M OUT|,unknown
|1st weekend was rough, but my willpower was enough.

Still IN!|,unknown
Week one still in O7,unknown
Still in!😊,unknown
Still In,unknown
|Roses are red

My ballsack is blue

My cock is throbbing

But nutting I shall not do

Still in.|,unknown
day 7✅,unknown
|1st week behind us brothers,

we shall purge demons of lust,

we shall prevail to show others what we are capable of,

we shall never surrender,

because we are still in!|,unknown
|Still in, although yesterday was pushing me to my limits.|,unknown
|Wahoo!

STILL IN|,unknown
