|had insane urges. Then the fire alarm went off in my building. I swear it wasn’t me. 

The universe GOT ME.  

HOLD THE LINE|,n
INNNNNNNNNNNN,y
I'm out because it is funny to lose at the last day,n
Beginning of the end,y
 WE DID IT,y
I did it…,y
We did it!!!!!,y
Made it. Edged throughout the month. Can't believe I lasted this long.,y
Let's go,y
Im in.,y
|Im.......in....wait, I made it???|,y
|日本ではあと6時間とちょっとで11月が終了する。

今朝から収まらないこの興奮を解き放つときが来たようだ。

こうして一人意味のないコメントを1日も絶やさずに投稿で来たことをうれしく思い、また11ヶ月もの間ともに戦った友と会えなくなることを悲しく思う。

さあ、終わろう。このミームに溢れる世界に乾杯。|,y
Last day it’s been an honour.,y
ON MY WAY,y
FINAL DAY! What an honor to win again. See you next year cumrades!,y
I should be happy but I failed a long time ago. I’ve failed four times in a row. And besides this challenge was making me mentally and physically unwell. I couldn’t focus I was nauseous all the time I couldn’t sleep. I also realized that it’s the same memes and larping over and over again and it’s not funny. This challenge is so porn addicts can make ha ha funnies over whoever cums first. I don’t know maybe I’m just bitter I lost since my girlfriend promised me she’d get me an RTX 4090 if I won.,unknown
i'm out,n
Our time has finally came,y
i won,y
We did it,y
Victory,y
STILLIN,y
WE DID IT,y
I’ve done it again,y
#WE DID IT,y
Good job fellow solders,y
|Last comment for this year. Congrats to the cumrades who made it this year. I'm confident I'll make it next year, so I'll see yall then. O7 congrats on your completion!|,y
Can't believe I did this challenge thrice.. 💩,y
Done!!!!,y
It's been a pleasure with you all happy DDD,y
I’m out sadly,n
Surviving the last day...,y
|In.

Goodbye brothers.|,y
Its been an honor o7. Lets finish this,y
|Stillin, and im winning this o7 to fallen|,y
🎵[Still Alive!][Still Alive!]🎵,y
Here,y
Can’t believe I actually survived literally 99%,y
Out,n
One last ride,y
LAST FUCKING DAY,y
The final day!,y
STILL.INNNNNNNNNNNNNNNN,y
Let’s gooo,y
Last Rawl cawl,y
i can do it this year omg,y
Made it,y
woot woot.,y
|Victory!

![gif](giphy||AbYxDs20DECQw)|,y
Finally it is nearly time,y
|I failed today I'm retarded, this failure truly made me rethink my life and now imma attempt Don't Diddle December|,n
I did only few hours left,y
Yes letsgo,y
Out November 20th,n
Innnnnnn!!!!!,y
|I can make it, see you next year again|,y
Wooohoooo,y
o7,y
I’M IN,y
STIIILLLL!!! INNNN!!!!,y
Yes!,y
Hi,y
Omg,y
I'm in,y
|I may fallen, but that does t mean I can't prevent you from falling. If you feel the urge, watch something wholesome or go into some nonhorny rabbithole. Or touch grass. Or just sleep at 5pm and hope you wake up at midnight.

You got this cumrade O7|,n
STILLL INNNNNN,y
Proud of everyone who made it and even those who didnt,y
S҉T҉I҉L҉L҉ I҉N҉,y
we got this,y
Last Day: o7,y
Omggg,y
It was fun bros. See y'all next year. I'm still in and I'll make it. Epicly.,y
IM ALIVE DW,y
WE UP BITCHESSS,y
|I'm happy to have survived, but sad to quit this community for 1 year, see you next year, thank you for making my month...|,y
I’m in,y
Are you readdy boys,y
Stillt int,y
Will fail on this day for fun at 23:50,y
This is it the endgame,y
we’re almost there. Can’t wait to see all the retards losing on purpose lol,y
Innnn less than 12 hours for mee,y
Still im,y
It's been an honor everyone. May fortune continue to smile upon you all o7,y
Weeee uuuupp,y
|it's been fun fighting with you cumrades seeya next year. 

o7|,y
Stilllllllllllllllllllllllllllllllllllll innnnnnnnnnnnnnnnnnnnnnnn. O7,y
o7 x30 🥺🥺🥺,y
Why will the diamond flairs be for self assignment why didnt you just make a bot?,y
Last day hold strong,y
|5 hours and 31 minutes, bitches. Official NNN Hattrick|,y
Last day boys and girls,y
Home alone today but staying strong 👍,y
|Today will be the hardest, stay strong comrades o7|,y
Can’t believe we really out here,y
Nope. Ive been gotten.q,n
Стілл ін 🇺🇦,y
|2020 - Out Day 6

2021 - Out Day 16

2022 - 6 hours to go and still in.

Excited to get my first win! It's been a pleasure serving with you all cumrades o7. See you all next year.|,y
I WIN,y
|It made me awesome it seem

Myself I've come to redeem

Keeping it real and clean

The true challenge I've been

Alas & I'm STILL IN!|,y
STILL IN… BRING IT HOME boys,y
|Thank you everyone, honor to those who strived through and those who have fallen  
I have prevailed, couldn't do it without all of you, see you all next year o7, Still In|,y
|So that's it, finally the end. I will miss this community 😑|,y
|GG, cya next year lads.|,y
The end is here boys.,y
Just wanted to say you are all far stronger then me. Bring it home!,y
almost there man.,y
I’m OUT,n
Im in,y
I did it my first month of a successful nofap.,y
Dawn of the final day,y
OUT November 30th because I have square brain,n
It's been an experience thanks guys,y
|Lets prepare men

A storm is approaching

And im not talking about vergil.|,y
Out on the 14th ;_;,n
|![gif](giphy||xT1XGUM8m88TVfDh5K)

o7|,y
22:45 remains. Wish me luck,y
Ez,y
|This journey was amazing, Thank you cumrades, o7!|,y
we fucking did it,y
Yes !,y
I did this. We did this. o7,y
It's been fun comrades o7,y
I got one more day after this! I am going global!,y
Yessir,y
|Last stand soldiers, we must fight until dawn o7|,y
Almost there.,y
Well that's it I guess,y
The Last day see you on the other side o7,y
|Once midnight hits, I’m gone. It’s been a great fight this year cumrades. O7|,y
Less than 24 hours!!!!!,y
I didn't do any the others this year but I was with you all,y
|![gif](giphy||L95W4wv8nnb9K)

Even though I win, I'm sad because of the regret of not commenting even though I saw this since the 1st so I didn't comment 7 days to get flair...|,y
I'm OUT,n
|Didn't make it, but congrats for the bros who've made this far until the end. Congratulations.|,y
Final stretch,y
The end!!,y
STILL.FUCKING.IN. O7,y
